Target,Category,Opportunity,URL or Discovery Path,Priority,Next Step
"Palm Beach County Community Services","government/community services","pilot resource navigation","https://discover.pbcgov.org/communityservices/","High","public partner research"
"211 Palm Beach/Treasure Coast","resource referral","referral workflow alignment","https://211palmbeach.org/","High","partnership outreach"
"Local churches/community centers","community host","pilot event space/trust","local discovery","High","identify 10 candidates"
"Podiatry clinics","clinical advisor/referral","foot-care boundaries and referral","local discovery","High","recruit advisor"
"Wound-care centers","clinical advisor/referral","post-visit non-medical support","local discovery","High","recruit advisor"
"Food banks","food stability","Food Stability Pack","local discovery","High","partner list"
"Meals on Wheels local provider","senior nutrition","senior support referral","https://www.mealsonwheelsamerica.org/","Medium","local affiliate search"
"Medical supply stores","vendor","supply directory","local discovery","High","vet first 5"
"Pharmacies","vendor","delivery/refill logistics","local discovery","Medium","vet first 5"
"Senior centers","community host","senior support pilot","local discovery","Medium","phase 2"
"Home health agencies","vendor/referral","licensed home support","local discovery","Medium","vet with legal review"
"Transportation providers","vendor","medical appointment rides","local discovery","Medium","insurance review"
"Synology/QNAP setup consultants","tech vendors","NAS vault setup","local discovery","Medium","vet first 3"
"Diabetes educators","education partner","DSMES referral and education boundaries","local discovery","Medium","credential review"
"Local foundations","funder","care packs and pilot grant","local discovery","High","donor outreach"
